Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
b3340	b3340	24	24	24		1	24	24	24	44.5	44.5	44.5	77.58	704	704	0	130.13	2.0318	1.7669	75.076	51	0	Leave out requantified	6453100	3234200	3218900				274	75;88;118;209;401;649;667;673;732;737;771;781;836;873;895;908;1019;1096;1254;1258;1329;1726;1904;1926	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	76;89;119;212;405;655;673;679;738;743;777;787;842;880;902;915;1026;1103;1264;1268;1344;1746;1926;1948	150;151;152;153;154;155;156;157;188;189;190;191;243;244;245;428;429;430;431;808;809;810;811;812;813;814;1262;1263;1264;1297;1311;1312;1408;1409;1414;1415;1416;1417;1418;1470;1471;1472;1473;1474;1475;1476;1508;1509;1510;1511;1607;1608;1609;1610;1611;1681;1682;1683;1684;1685;1686;1687;1688;1689;1732;1733;1734;1766;1767;1768;1769;1770;1771;1772;1773;1774;1974;1975;2124;2125;2126;2447;2452;2453;2454;2455;2605;2606;2607;3413;3782;3810;3811;3812;3813;3814;3815	672;673;674;675;676;677;678;679;680;681;682;683;684;685;686;687;688;689;690;691;692;693;694;695;696;697;698;699;700;701;702;703;704;705;706;707;708;709;710;711;712;713;714;715;716;717;718;719;720;721;891;892;893;894;895;896;897;898;899;900;901;902;903;904;905;906;907;908;909;910;911;912;913;914;915;916;917;918;919;920;921;922;923;924;925;926;927;928;929;930;1214;1215;1216;1217;1218;1219;1220;1221;1222;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;3738;3739;3740;3741;3742;3743;3744;3745;3746;3747;3748;3749;3750;3751;3752;5594;5595;5596;5597;5598;5599;5600;5601;5602;5603;5604;5605;5606;5607;5608;5609;5610;5611;5612;5613;5614;5615;5712;5752;5753;5754;6155;6156;6157;6158;6159;6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;6398;6399;6400;6401;6402;6403;6404;6405;6406;6407;6408;6409;6410;6411;6412;6413;6414;6415;6416;6417;6418;6419;6420;6421;6422;6423;6424;6425;6426;6427;6428;6571;6572;6573;6574;6575;6576;6577;6578;6579;6580;6581;6582;6583;6584;6585;6586;6587;6588;6589;6590;6591;6592;6973;6974;6975;6976;6977;6978;6979;6980;6981;6982;6983;6984;6985;6986;6987;6988;6989;7292;7293;7294;7295;7296;7297;7298;7299;7300;7301;7302;7303;7304;7305;7306;7307;7308;7309;7310;7311;7312;7313;7314;7315;7316;7317;7318;7319;7320;7321;7322;7323;7324;7325;7326;7327;7328;7329;7330;7331;7332;7333;7334;7335;7336;7337;7338;7339;7340;7341;7342;7343;7344;7345;7346;7347;7348;7349;7350;7351;7352;7353;7354;7355;7356;7357;7358;7359;7360;7361;7362;7363;7364;7365;7366;7367;7368;7369;7629;7630;7631;7632;7633;7634;7635;7636;7637;7638;7802;7803;7804;7805;7806;7807;7808;7809;7810;7811;7812;7813;7814;7815;7816;7817;7818;7819;7820;7821;7822;7823;7824;7825;7826;7827;7828;7829;7830;7831;7832;7833;7834;8489;8490;8491;8492;8493;8494;8495;8496;8497;8498;8499;9133;9134;9135;9136;9137;10409;10417;10418;10419;10420;10421;10422;10423;10424;10425;10426;10427;10428;10429;10430;10431;10432;10433;10434;10435;10436;10437;10438;10439;10965;10966;10967;10968;10969;10970;10971;10972;10973;10974;10975;10976;14272;14273;15983;16070;16071;16072;16073;16074;16075;16076;16077;16078;16079;16080;16081;16082;16083;16084;16085;16086;16087;16088;16089;16090;16091;16092;16093;16094;16095;16096;16097;16098;16099;16100;16101;16102	709;892;1220;2081;3746;5603;5712;5752;6159;6178;6405;6588;6987;7346;7632;7812;8490;9134;10409;10417;10967;14272;15983;16078		
b3341	b3341	12	12	12		1	12	12	12	59.2	59.2	59.2	20.019	179	179	0	151.17	0.761	1.1664	5.8777	24	0	Leave out requantified	6911900	4209200	2702700				275	535;586;587;1004;1033;1471;1481;1491;1543;1744;1745;1879	True;True;True;True;True;True;True;True;True;True;True;True	539;590;591;592;1011;1040;1487;1497;1507;1561;1764;1765;1900	1047;1048;1152;1153;1154;1155;1156;1157;1158;1159;1160;1949;1950;2006;2007;2008;2876;2877;2894;2909;3014;3015;3016;3448;3449;3450;3720;3721;3722	4665;4666;4667;5140;5141;5142;5143;5144;5145;5146;5147;5148;5149;5150;5151;5152;5153;5154;5155;5156;5157;5158;5159;5160;5161;5162;5163;5164;5165;5166;5167;5168;5169;5170;5171;5172;5173;5174;5175;5176;5177;5178;5179;5180;5181;5182;5183;5184;5185;5186;5187;5188;5189;5190;5191;5192;5193;5194;5195;5196;5197;5198;5199;5200;5201;5202;5203;5204;5205;5206;5207;5208;5209;5210;5211;5212;8420;8421;8422;8423;8424;8425;8426;8427;8428;8429;8430;8431;8432;8643;8644;8645;8646;8647;8648;8649;8650;8651;8652;8653;8654;8655;8656;8657;8658;8659;8660;8661;8662;8663;8664;8665;12073;12074;12075;12076;12077;12078;12079;12152;12153;12194;12581;12582;12583;12584;12585;12586;12587;12588;12589;12590;12591;12592;12593;12594;12595;12596;12597;12598;12599;12600;12601;12602;12603;12604;12605;12606;12607;12608;12609;12610;12611;12612;12613;12614;12615;12616;12617;12618;12619;12620;12621;12622;12623;12624;12625;12626;12627;12628;12629;12630;12631;12632;12633;12634;12635;12636;12637;12638;12639;14450;14451;14452;14453;14454;14455;14456;14457;14458;14459;14460;14461;14462;14463;14464;14465;15682;15683;15684;15685;15686;15687;15688;15689;15690;15691;15692;15693;15694;15695;15696;15697;15698;15699;15700;15701	4665;5172;5193;8422;8662;12077;12153;12194;12635;14461;14465;15686	25	31
b3342	b3342	1	1	1		1	1	1	1	6.5	6.5	6.5	13.737	124	124	0	2.1064	0.73705	1.1934	2.2708	2	0	Median	404680	228720	175960				276	218	True	221	454;455	2189;2190;2191;2192;2193;2194;2195;2196;2197;2198;2199;2200;2201;2202;2203	2191		
b3347	b3347	4	4	4		1	4	4	4	17.8	17.8	17.8	28.882	270	270	0	5.4381	1.1131	1.5408	8.3679	4	0	Leave out requantified	191910	92950	98961				277	344;1178;1215;1462	True;True;True;True	348;1186;1223;1478	694;2291;2369;2858	3192;3193;3194;3195;9817;9818;10116;10117;10118;10119;10120;10121;10122;11959;11960;11961;11962;11963;11964;11965;11966	3195;9817;10120;11964		
b3349	b3349	2	2	2		1	2	2	2	10.2	10.2	10.2	20.853	196	196	0	4.7811	NaN	NaN	NaN	1	0	Median	98625	15517	83109				278	330;561	True;True	334;565	669;1105;1106;1107;1108;1109;1110	3093;3094;3095;3096;3097;3098;4892;4893;4894;4895;4896;4897;4898;4899;4900;4901;4902;4903;4904;4905;4906	3095;4894		
b3357	b3357	5	5	5		1	5	5	5	24.3	24.3	24.3	23.64	210	210	0	20.139	0.60201	0.86743	7.1186	10	0	Leave out requantified	846850	532320	314530				279	57;835;1404;1628;1752	True;True;True;True;True	57;841;1420;1647;1772	102;103;1605;1606;2732;2733;3166;3167;3463;3464;3465	466;467;468;469;470;6965;6966;6967;6968;6969;6970;6971;6972;11440;11441;11442;11443;11444;11445;11446;11447;11448;11449;11450;11451;11452;11453;11454;11455;11456;11457;11458;11459;11460;11461;13136;13137;13138;13139;13140;13141;13142;13143;13144;14505;14506;14507;14508;14509;14510;14511;14512;14513;14514;14515;14516;14517;14518;14519;14520;14521;14522;14523;14524;14525;14526;14527;14528;14529;14530;14531;14532;14533;14534;14535;14536;14537;14538;14539;14540;14541;14542;14543	468;6970;11457;13137;14541		
b3384	b3384	3	3	3		1	3	3	3	11.4	11.4	11.4	37.437	334	334	0	3.3284	0.75941	1.2467	12.872	2	0	Median	119980	87070	32909				280	555;630;1348	True;True;True	559;635;1363	1093;1230;2642	4860;5463;5464;5465;11128;11129	4860;5464;11128		
b3390	b3390	3	3	3		1	3	3	3	20.2	20.2	20.2	19.538	173	173	0	3.0721	0.6044	0.92056	0.68882	2	0	Median	117480	80604	36878				281	501;1328;1388	True;True;True	505;1343;1403	984;2604;2702	4444;10964;11334	4444;10964;11334		
b3396	b3396	1	1	1		1	1	1	1	1.2	1.2	1.2	93.603	850	850	0.0057971	1.6741	NaN	NaN	NaN	1	0	Median	600840	381710	219120				282	1823	True	1844	3599	15071	15071		
b3403	b3403	6	6	6		1	6	6	6	13.5	13.5	13.5	59.643	540	540	0	7.1493	1.0204	1.023	3.0557	3	0	Leave out requantified	153060	72947	80111				283	268;350;379;621;707;1763	True;True;True;True;True;True	272;354;383;626;713;1783	571;703;780;1217;1364;3484;3485	2680;2681;2682;2683;3225;3607;5417;5954;5955;5956;5957;5958;5959;14613;14614	2681;3225;3607;5417;5958;14613		
b3414	b3414	4	4	4		1	4	4	4	26.7	26.7	26.7	20.997	191	191	0	5.8318	0.88652	1.2278	0.35036	3	0	Plateau	157890	80958	76936				284	1127;1406;1692;1727	True;True;True;True	1134;1422;1711;1747	2175;2735;2736;3306;3414;3415	9342;9343;9344;9345;11467;11468;11469;11470;11471;13770;14274;14275;14276	9343;11469;13770;14275		
b3433	b3433	3	3	3		1	3	3	3	10.1	10.1	10.1	40.017	367	367	0	6.4011	0.85717	1.1685	3.8828	4	0	Leave out requantified	724080	418290	305790				285	364;711;1359	True;True;True	368;717;1374	733;734;735;736;1368;2657;2658	3307;3308;3309;3310;3311;3312;3313;3314;3315;3316;3317;3318;3319;3320;3321;3322;3323;3324;3325;3326;3327;3328;3329;3330;3331;3332;3333;3334;5972;5973;11183;11184	3323;5973;11183		
b3460	b3460	2	2	2		1	2	2	2	4.1	4.1	4.1	39.076	367	367	0	1.9775	2.0209	2.0446	5.5644	2	0	Median	67930	23741	44190				286	286;774	True;True	290;780	597;1483	2771;6445	2771;6445		
b3464	b3464	4	4	4		1	4	4	4	10.7	10.7	10.7	54.513	497	497	0	3.6189	NaN	NaN	NaN	1	0	Median	54181	2381.7	51799				287	35;259;636;1326	True;True;True;True	35;263;642;1341	72;548;1240;2600	348;349;350;2612;5492;5493;5494;10951	348;2612;5492;10951		
b3498	b3498	2	2	2		1	2	2	2	3.4	3.4	3.4	77.166	680	680	0	3.2433	NaN	NaN	NaN	1	0	Median	51466	13907	37560				288	490;1401	True;True	494;1417	967;2723	4400;11414;11415;11416;11417	4400;11416		
b3544	b3544	13	13	13		1	13	13	13	28.4	28.4	28.4	60.293	535	535	0	103.74	0.73417	0.74013	5.6333	21	0	Leave out requantified	2577200	1457700	1119500				289	248;460;508;778;791;869;968;1050;1236;1376;1377;1686;1875	True;True;True;True;True;True;True;True;True;True;True;True;True	252;464;512;784;797;876;975;1057;1244;1391;1392;1705;1896	528;529;922;923;993;1503;1504;1531;1532;1671;1672;1879;1880;1881;1882;1883;2039;2410;2411;2681;2682;2683;3288;3289;3716	2533;2534;2535;2536;2537;2538;2539;2540;2541;4187;4188;4189;4190;4191;4192;4193;4194;4195;4196;4197;4198;4199;4200;4201;4202;4203;4204;4205;4206;4463;6508;6509;6510;6511;6512;6513;6514;6515;6516;6517;6518;6519;6520;6521;6522;6523;6524;6525;6678;6679;6680;6681;6682;6683;6684;6685;6686;6687;6688;6689;6690;6691;6692;6693;6694;6695;6696;6697;7248;7249;7250;7251;7252;7253;7254;7255;7256;7257;7258;7259;7260;7261;7262;7263;7264;7265;8188;8189;8190;8191;8192;8193;8194;8195;8196;8197;8198;8199;8200;8201;8202;8203;8204;8205;8206;8207;8208;8209;8210;8211;8212;8213;8214;8769;8770;8771;8772;10277;10278;10279;10280;10281;10282;10283;10284;10285;11261;11262;11263;11264;11265;11266;11267;11268;13723;13724;13725;15672;15673;15674;15675	2541;4203;4463;6519;6695;7260;8210;8769;10283;11266;11268;13724;15673		
b3553	b3553	3	3	3		1	3	3	3	10.2	10.2	10.2	35.395	324	324	0	4.8012	1.047	1.7188	4.4886	3	0	Leave out requantified	66377	36766	29612				290	98;1539;1635	True;True;True	99;1557;1654	206;3010;3177	987;12576;12577;13177;13178;13179	987;12577;13178		
b3559	b3559	8	8	8		1	8	8	8	17.9	17.9	17.9	76.812	689	689	0	25.541	2.1514	1.4815	34.923	8	0	Leave out requantified	640400	213860	426540				291	250;543;918;1020;1032;1172;1772;1938	True;True;True;True;True;True;True;True	254;547;925;1027;1039;1180;1792;1960	531;1067;1791;1792;1976;2004;2005;2276;3505;3506;3829	2545;2546;2547;2548;4761;4762;4763;4764;4765;4766;4767;4768;4769;7922;7923;7924;7925;7926;7927;7928;7929;7930;7931;7932;7933;7934;7935;7936;7937;7938;7939;7940;7941;7942;7943;7944;7945;7946;7947;7948;7949;7950;8500;8501;8502;8639;8640;8641;8642;9775;14670;14671;14672;14673;14674;14675;16178;16179;16180;16181;16182	2547;4765;7942;8502;8640;9775;14672;16181		
b3572	b3572	1	1	1		1	1	1	1	2.9	2.9	2.9	46.711	417	417	0	2.4497	NaN	NaN	NaN	1	0	Median	30649	14657	15993				292	1589	True	1608	3091	12872;12873;12874;12875;12876;12877;12878	12873		
b3611	b3611	1	1	1		1	1	1	1	7	7	7	15.596	143	143	0	2.0876	NaN	NaN	NaN	1	0	Median	100140	67176	32967				293	79	True	80	172	819;820;821	819		
b3612	b3612	2	2	2		1	2	2	2	4.3	4.3	4.3	56.193	514	514	0	3.1093	1.5731	1.3882	15.548	4	0	Leave out requantified	197200	93337	103860				294	64;969	True;True	64;976	115;116;117;118;1884	518;519;520;521;522;523;524;525;526;527;528;529;530;531;532;533;534;535;8215	529;8215		
b3619	b3619	4	4	4		1	4	4	4	16.5	16.5	16.5	34.893	310	310	0	5.546	0.70973	1.1651	12.944	4	0	Leave out requantified	248280	146100	102180				295	56;544;669;1672	True;True;True;True	56;548;675;1691	101;1068;1299;3255	465;4770;4771;5715;5716;5717;5718;5719;5720;13569;13570;13571;13572	465;4770;5716;13569		
b3636	b3636	2	2	2		1	2	2	2	30.9	30.9	30.9	6.3715	55	55	0	2.8915	0.5614	0.97644	6.0969	2	0	Median	382630	247910	134720				296	886;1224	True;True	893;1232	1713;2394	7499;10218	7499;10218		
b3637	b3637	4	4	4		1	4	4	4	35.9	35.9	35.9	9.0064	78	78	0	87.14	0.56776	0.97718	5.4372	6	0	Leave out requantified	2527900	1590600	937320				297	549;592;654;986	True;True;True;True	553;597;660;993	1081;1082;1167;1168;1270;1271;1922	4821;4822;4823;4824;4825;4826;4827;4828;4829;4830;5224;5225;5226;5227;5228;5229;5230;5231;5232;5233;5234;5235;5236;5637;5638;5639;5640;5641;5642;5643;5644;5645;5646;5647;5648;5649;5650;8341	4822;5230;5643;8341		
b3699	b3699	6	6	6		1	6	6	6	9.8	9.8	9.8	89.949	804	804	0	8.067	2.896	1.8016	25.324	4	0	Leave out requantified	187560	41768	145790				298	264;410;463;521;696;1637	True;True;True;True;True;True	268;414;467;525;702;1656	562;563;829;930;1015;1349;3180;3181	2656;2657;2658;3802;3803;3804;3805;4236;4237;4238;4239;4527;5906;5907;5908;5909;5910;13182;13183;13184;13185;13186;13187;13188;13189;13190;13191;13192;13193	2658;3802;4239;4527;5907;13191		
b3703	b3703	1	1	1		1	1	1	1	19.6	19.6	19.6	5.3803	46	46	0	5.3193	NaN	NaN	NaN	1	0	Median	211730	196350	15384				299	1600	True	1619	3117;3118;3119	13022;13023;13024;13025;13026	13022		
b3705	b3705	1	1	1		1	1	1	1	2	2	2	61.525	548	548	0.0058309	1.6793	0.8182	0.77964	48.722	2	0	Median	52908	29676	23232				300	1583	True	1602	3081;3082	12838;12839;12840;12841;12842	12841		
b3713	b3713	1	1	1		1	1	1	1	5.9	5.9	5.9	20.375	188	188	0	1.9744	0.63852	0.92003	12.229	2	0	Median	46809	27682	19126				301	1173	True	1181	2277;2278	9776;9777	9776		
b3729	b3729	5	5	5		1	5	5	5	12.8	12.8	12.8	66.894	609	609	0	7.9151	NaN	NaN	NaN	1	0	Median	176730	110940	65793				302	353;539;619;684;1723	True;True;True;True;True	357;543;624;690;1743	708;709;710;1057;1215;1328;3409	3243;3244;3245;3246;3247;3248;3249;3250;4726;5413;5814;14263	3248;4726;5413;5814;14263		
b3732	b3732	14	14	14		1	14	14	14	41.3	41.3	41.3	50.325	460	460	0	84.481	3.6202	3.7248	19.09	12	0	Leave out requantified	1836500	712480	1124000				303	317;358;553;760;903;964;1323;1394;1400;1621;1677;1703;1748;1946	True;True;True;True;True;True;True;True;True;True;True;True;True;True	321;362;557;766;910;971;1338;1410;1416;1640;1696;1722;1768;1968	648;649;718;719;720;721;722;723;724;725;726;1088;1089;1451;1452;1453;1757;1873;2594;2595;2596;2711;2722;3158;3272;3273;3274;3275;3276;3321;3322;3454;3455;3841	2993;2994;2995;2996;2997;2998;2999;3000;3001;3002;3003;3275;3276;3277;3278;3279;3280;3281;3282;3283;3284;3285;3286;3287;3288;3289;3290;3291;3292;3293;3294;3295;3296;4849;4850;4851;4852;4853;4854;6309;6310;6311;6312;6313;6314;6315;6316;7757;7758;7759;7760;7761;7762;8176;10933;10934;10935;10936;10937;10938;10939;10940;10941;11360;11361;11410;11411;11412;11413;13119;13120;13121;13122;13672;13673;13674;13675;13676;13677;13678;13679;13680;13681;13682;13683;13684;13685;13686;13687;13688;13689;13690;13820;13821;13822;13823;13824;13825;13826;13827;14476;14477;14478;14479;14480;14481;16223;16224	2994;3280;4850;6310;7760;8176;10935;11360;11411;13120;13683;13822;14479;16224		
b3733	b3733	2	2	2		1	2	2	2	6.3	6.3	6.3	31.577	287	287	0	2.285	0.6945	0.96141	11.868	3	0	Median	118050	70064	47990				304	141;1758	True;True	142;1778	295;296;3477	1500;1501;1502;1503;1504;14592;14593;14594	1500;14593		
b3734	b3734	19	19	19		1	19	19	19	46.6	46.6	46.6	55.221	513	513	0	128.18	1.3472	1.2665	11.217	24	0	Leave out requantified	2649600	1245300	1404300				305	206;227;342;444;452;664;724;773;834;868;891;1283;1420;1425;1573;1574;1803;1853;1897	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	209;231;346;448;456;670;730;779;840;875;898;1294;1436;1441;1592;1593;1824;1874;1918	424;425;489;490;491;492;493;691;898;899;910;911;912;1293;1294;1390;1480;1481;1482;1604;1669;1670;1724;1725;1726;2505;2758;2769;2770;3062;3063;3064;3065;3066;3067;3560;3561;3562;3661;3662;3765;3766;3767;3768	2061;2062;2063;2064;2348;2349;2350;2351;2352;2353;2354;2355;2356;2357;2358;2359;2360;2361;2362;2363;2364;2365;2366;2367;2368;2369;2370;2371;2372;2373;2374;2375;2376;2377;2378;2379;3184;3185;3186;4095;4096;4097;4098;4128;4129;4130;4131;4132;4133;4134;4135;4136;4137;4138;4139;4140;4141;4142;4143;4144;4145;4146;4147;4148;4149;4150;5702;5703;6069;6070;6071;6072;6073;6074;6075;6076;6077;6078;6079;6080;6081;6082;6083;6084;6085;6086;6087;6088;6089;6090;6091;6092;6093;6094;6439;6440;6441;6442;6443;6444;6963;6964;7238;7239;7240;7241;7242;7243;7244;7245;7246;7247;7586;7587;7588;7589;7590;7591;7592;7593;7594;7595;7596;7597;7598;7599;7600;7601;7602;7603;7604;7605;7606;7607;7608;7609;7610;7611;7612;10573;10574;10575;11514;11515;11516;11517;11518;11588;11589;11590;11591;11592;11593;12789;12790;12791;12792;12793;12794;12795;12796;12797;12798;12799;12800;12801;12802;12803;12804;12805;12806;12807;12808;12809;12810;12811;12812;12813;14895;14896;14897;14898;14899;14900;15378;15379;15380;15381;15382;15383;15384;15385;15386;15881;15882;15883;15884;15885;15886;15887;15888;15889;15890;15891;15892;15893;15894	2062;2357;3184;4096;4134;5702;6091;6444;6963;7243;7608;10573;11518;11592;12806;12812;14900;15381;15888		
b3735	b3735	4	4	4		1	4	4	4	27.7	27.7	27.7	19.332	177	177	0	16.192	0.69415	1.0405	7.9282	4	0	Leave out requantified	375650	227130	148520				306	8;76;1152;1562	True;True;True;True	8;77;1160;1581	21;158;2245;2246;2247;3048	109;722;723;9612;9613;9614;9615;9616;9617;9618;9619;9620;9621;9622;9623;9624;9625;9626;9627;9628;9629;9630;9631;9632;9633;9634;9635;9636;9637;9638;9639;9640;9641;9642;9643;9644;9645;9646;9647;9648;9649;9650;9651;9652;12745;12746;12747	109;723;9640;12747		
b3736	b3736	4	4	4		1	4	4	4	27.6	27.6	27.6	17.232	156	156	0	6.4199	0.63766	0.97122	4.8914	5	0	Leave out requantified	350090	211570	138520				307	41;423;1421;1533	True;True;True;True	41;427;1437;1551	79;857;2759;2760;3004	366;367;368;369;370;371;3929;3930;3931;3932;11519;11520;11521;11522;11523;11524;11525;11526;11527;11528;11529;12567;12568;12569	369;3932;11522;12567		
b3744	b3744	5	5	5		1	5	5	5	22.7	22.7	22.7	36.65	330	330	0	31.965	0.99394	1.3394	15.173	8	0	Leave out requantified	867440	514680	352760				308	318;809;1089;1191;1547	True;True;True;True;True	322;815;1096;1199;1566	650;651;652;653;1563;2108;2109;2318;2319;3023;3024;3025;3026	3004;3005;3006;3007;3008;3009;3010;3011;3012;3013;3014;3015;3016;3017;6824;9062;9063;9064;9065;9066;9067;9068;9069;9070;9071;9072;9073;9074;9075;9076;9077;9911;9912;9913;12664;12665;12666;12667;12668;12669;12670	3005;6824;9075;9911;12667		
b3771	b3771	2	2	2		1	2	2	2	4.5	4.5	4.5	65.531	616	616	0	2.3039	0.82632	1.0601	19.971	2	0	Median	965890	554040	411850				309	81;668	True;True	82;674	174;1298	823;824;5713;5714	823;5713		
b3781	b3781	2	2	2		1	2	2	2	19.3	19.3	19.3	11.806	109	109	0	2.6113	0.55643	0.95767	2.3974	2	0	Median	347120	221380	125740				310	666;1155	True;True	672;1163	1296;2250	5707;5708;5709;5710;5711;9656	5710;9656		
b3783	b3783	7	7	7		1	7	7	7	19.3	19.3	19.3	47.004	419	419	0	12.097	0.87973	0.89574	9.783	11	0	Leave out requantified	625430	364140	261290				311	355;694;816;878;893;1242;1782	True;True;True;True;True;True;True	359;700;822;885;900;1250;1802	712;713;714;715;1347;1572;1573;1697;1698;1728;2422;3522;3523	3254;3255;3256;3257;3258;3259;3260;3261;3262;3263;3264;3265;3266;3267;3268;5904;6835;6836;6837;6838;6839;6840;6841;6842;6843;6844;7397;7398;7399;7400;7616;10329;10330;14719;14720;14721;14722;14723	3258;5904;6837;7397;7616;10330;14721		
b3829	b3829	9	9	9		1	9	9	9	17	17	17	84.672	753	753	0	59.892	5.0213	3.1236	28.339	3	0	Leave out requantified	386200	89532	296660				312	17;269;297;395;1016;1188;1207;1567;1876	True;True;True;True;True;True;True;True;True	17;273;301;399;1023;1196;1215;1586;1897	34;572;611;800;1971;2314;2352;2353;2354;3055;3717	146;147;148;149;150;151;152;153;154;155;156;157;2684;2813;2814;2815;2816;2817;3694;3695;3696;3697;8480;8481;8482;8483;9906;10037;10038;10039;10040;10041;10042;10043;10044;10045;10046;10047;10048;10049;12766;12767;12768;15676;15677;15678;15679	151;2684;2816;3696;8481;9906;10041;12768;15676		
b3847	b3847	3	3	3		1	3	3	3	10.2	10.2	10.2	50.176	443	443	0	2.8283	0.50813	0.4484	12.298	3	0	Leave out requantified	160150	124060	36095				313	160;714;1493	True;True;True	163;720;1509	329;1374;2911;2912	1613;1614;6003;6004;12197;12198	1614;6004;12198		
b3870	b3870	11	11	11		1	11	11	11	32.8	32.8	32.8	51.903	469	469	0	23.574	0.42363	0.38596	24.105	16	0	Leave out requantified	1049000	752050	296940				314	80;107;432;481;917;975;1222;1249;1432;1456;1895	True;True;True;True;True;True;True;True;True;True;True	81;108;436;485;924;982;1230;1258;1448;1472;1916	173;225;226;871;872;952;1789;1790;1894;1895;2381;2382;2438;2439;2782;2783;2784;2839;2840;2841;3761;3762	822;1141;1142;1143;1144;1145;1146;1147;1148;1149;1150;1151;1152;1153;1154;1155;1156;1157;3974;3975;3976;3977;4315;4316;7913;7914;7915;7916;7917;7918;7919;7920;7921;8261;8262;8263;10153;10154;10380;10381;10382;10383;10384;10385;10386;10387;10388;10389;10390;10391;11643;11644;11645;11646;11647;11648;11852;11853;11854;11855;11856;11857;11858;11859;11860;11861;11862;11863;11864;15870;15871;15872;15873;15874;15875;15876;15877	822;1152;3975;4315;7916;8262;10153;10382;11647;11854;15872		
b3871	b3871	9	9	9		1	9	9	9	17.8	17.8	17.8	67.323	607	607	0	40.96	NaN	NaN	NaN	0	0	Median	675660	406510	269150				315	199;222;469;628;671;909;1142;1324;1719	True;True;True;True;True;True;True;True;True	202;226;473;633;677;916;1149;1339;1739	410;472;473;474;475;476;477;478;479;480;481;482;936;1227;1301;1775;2214;2215;2597;2598;3404	2022;2023;2024;2298;2299;2300;2301;2302;2303;2304;2305;2306;2307;2308;2309;2310;2311;2312;2313;2314;2315;2316;2317;2318;2319;2320;2321;2322;2323;2324;2325;2326;2327;2328;2329;2330;2331;2332;2333;4253;4254;5457;5722;7835;9520;9521;9522;9523;9524;9525;9526;9527;10942;10943;10944;10945;10946;10947;10948;10949;14248;14249	2023;2322;4253;5457;5722;7835;9523;10942;14248		
b3908	b3908	4	4	4		1	4	4	4	21.4	21.4	21.4	23.097	206	206	0	9.7273	0.57701	0.8314	14.095	7	0	Leave out requantified	1689400	1064400	624910				316	283;405;536;988	True;True;True;True	287;409;540;995	591;592;821;822;1049;1050;1924	2739;2740;2741;2742;2743;2744;3775;3776;3777;3778;3779;3780;3781;3782;3783;3784;3785;3786;3787;4668;4669;4670;4671;4672;4673;4674;4675;4676;4677;4678;4679;4680;4681;4682;4683;4684;4685;4686;4687;4688;4689;4690;4691;4692;4693;4694;4695;8347	2741;3779;4689;8347		
b3916	b3916	5	5	5		1	5	5	5	15.9	15.9	15.9	34.842	320	320	0	7.5206	0.56406	0.85031	7.6887	9	0	Leave out requantified	421160	277960	143200				317	223;648;938;1255;1941	True;True;True;True;True	227;654;945;1265;1963	483;1260;1261;1816;1817;2448;2449;3833;3834	2334;2335;2336;5590;5591;5592;5593;8010;8011;8012;8013;8014;8015;8016;8017;8018;10410;10411;10412;10413;10414;16197;16198;16199;16200;16201	2334;5591;8012;10412;16201		
b3919	b3919	3	3	3		1	3	3	3	12.5	12.5	12.5	26.972	255	255	0	2.8622	0.5307	0.78612	10.228	4	0	Leave out requantified	182520	117570	64956				318	32;308;805	True;True;True	32;312;811	67;68;635;1554	323;324;325;326;327;328;329;330;331;332;333;2955;2956;2957;6778	333;2956;6778		
b3931	b3931	2	2	2		1	2	2	2	4.7	4.7	4.7	49.593	443	443	0	1.9263	NaN	NaN	NaN	1	0	Median	31752	6023.7	25728				319	1134;1332	True;True	1141;1347	2203;2613	9451;10993	9451;10993		
